,match_id,object_type,red_or_blue_side,team_name,sum
188,0156b7df31ad8a79,inhibs,red,GIA,1
189,0156b7df31ad8a79,towers,red,GIA,8
190,016ac9c66c8ac080,barons,blue,FW,2
191,016ac9c66c8ac080,dragons,blue,FW,3
192,016ac9c66c8ac080,heralds,blue,FW,0
193,016ac9c66c8ac080,inhibs,blue,FW,2
194,016ac9c66c8ac080,towers,blue,FW,10
195,016ac9c66c8ac080,barons,red,SKT,0
196,016ac9c66c8ac080,dragons,red,SKT,1
197,016ac9c66c8ac080,heralds,red,SKT,0
198,016ac9c66c8ac080,inhibs,red,SKT,0
199,016ac9c66c8ac080,towers,red,SKT,3
200,01a96409b7684abe,barons,blue,G2,1
201,01a96409b7684abe,dragons,blue,G2,3
202,01a96409b7684abe,heralds,blue,G2,1
203,01a96409b7684abe,inhibs,blue,G2,2
204,01a96409b7684abe,towers,blue,G2,10
205,01a96409b7684abe,barons,red,FW,0
206,01a96409b7684abe,dragons,red,FW,0
207,01a96409b7684abe,heralds,red,FW,0
208,01a96409b7684abe,inhibs,red,FW,0
209,01a96409b7684abe,towers,red,FW,0
210,01aec9f5934783bc,barons,blue,FOX,1
211,01aec9f5934783bc,dragons,blue,FOX,3
212,01aec9f5934783bc,heralds,blue,FOX,0
213,01aec9f5934783bc,inhibs,blue,FOX,1
214,01aec9f5934783bc,towers,blue,FOX,9
215,01aec9f5934783bc,barons,red,TL,0
216,01aec9f5934783bc,dragons,red,TL,0
217,01aec9f5934783bc,heralds,red,TL,0
218,01aec9f5934783bc,inhibs,red,TL,0
219,01aec9f5934783bc,towers,red,TL,1
220,01af899d3540b3e8,barons,blue,GET,0
221,01af899d3540b3e8,dragons,blue,GET,0
222,01af899d3540b3e8,heralds,blue,GET,0
223,01af899d3540b3e8,inhibs,blue,GET,0
224,01af899d3540b3e8,towers,blue,GET,2
225,01af899d3540b3e8,barons,red,SKT,1
226,01af899d3540b3e8,dragons,red,SKT,4
227,01af899d3540b3e8,heralds,red,SKT,0
228,01af899d3540b3e8,inhibs,red,SKT,1
229,01af899d3540b3e8,towers,red,SKT,8
230,01b203061ba62154,barons,blue,FW,0
231,01b203061ba62154,dragons,blue,FW,2
232,01b203061ba62154,heralds,blue,FW,0
233,01b203061ba62154,inhibs,blue,FW,0
234,01b203061ba62154,towers,blue,FW,4
235,01b203061ba62154,barons,red,RNG,1
236,01b203061ba62154,dragons,red,RNG,2
237,01b203061ba62154,heralds,red,RNG,1
238,01b203061ba62154,inhibs,red,RNG,1
239,01b203061ba62154,towers,red,RNG,8
240,01b3f6da3669f2e0,barons,blue,kt,0
241,01b3f6da3669f2e0,dragons,blue,kt,0
242,01b3f6da3669f2e0,heralds,blue,kt,0
243,01b3f6da3669f2e0,inhibs,blue,kt,0
244,01b3f6da3669f2e0,towers,blue,kt,2
245,01b3f6da3669f2e0,barons,red,LZ,1
246,01b3f6da3669f2e0,dragons,red,LZ,3
247,01b3f6da3669f2e0,heralds,red,LZ,0
248,01b3f6da3669f2e0,inhibs,red,LZ,1
249,01b3f6da3669f2e0,towers,red,LZ,9
250,01ba7b307c7b8202,barons,blue,CLG,0
251,01ba7b307c7b8202,dragons,blue,CLG,1
252,01ba7b307c7b8202,heralds,blue,CLG,0
253,01ba7b307c7b8202,inhibs,blue,CLG,0
254,01ba7b307c7b8202,towers,blue,CLG,1
255,01ba7b307c7b8202,barons,red,C9,1
256,01ba7b307c7b8202,dragons,red,C9,1
257,01ba7b307c7b8202,heralds,red,C9,0
258,01ba7b307c7b8202,inhibs,red,C9,2
259,01ba7b307c7b8202,towers,red,C9,10
260,01cc9b6ed7a1399c,barons,blue,ROC,0
261,01cc9b6ed7a1399c,dragons,blue,ROC,1
262,01cc9b6ed7a1399c,heralds,blue,ROC,0
263,01cc9b6ed7a1399c,inhibs,blue,ROC,0
264,01cc9b6ed7a1399c,towers,blue,ROC,4
265,01cc9b6ed7a1399c,barons,red,H2K,1
266,01cc9b6ed7a1399c,dragons,red,H2K,2
267,01cc9b6ed7a1399c,heralds,red,H2K,1
268,01cc9b6ed7a1399c,inhibs,red,H2K,2
269,01cc9b6ed7a1399c,towers,red,H2K,10
270,01dd2d806162619a,barons,blue,SKT,1
271,01dd2d806162619a,dragons,blue,SKT,3
272,01dd2d806162619a,heralds,blue,SKT,1
273,01dd2d806162619a,inhibs,blue,SKT,1
274,01dd2d806162619a,towers,blue,SKT,9
275,01dd2d806162619a,barons,red,bbq,0
276,01dd2d806162619a,dragons,red,bbq,0
277,01dd2d806162619a,heralds,red,bbq,0
278,01dd2d806162619a,inhibs,red,bbq,0
279,01dd2d806162619a,towers,red,bbq,0
280,01de05166befb130,barons,blue,NV,0
281,01de05166befb130,dragons,blue,NV,2
282,01de05166befb130,heralds,blue,NV,1
283,01de05166befb130,inhibs,blue,NV,1
284,01de05166befb130,towers,blue,NV,8
285,01de05166befb130,barons,red,APX,0
286,01de05166befb130,dragons,red,APX,1
287,01de05166befb130,heralds,red,APX,0
288,01de05166befb130,inhibs,red,APX,0
289,01de05166befb130,towers,red,APX,3
290,01f5e2ea22b0aa6a,barons,blue,M17,0
291,01f5e2ea22b0aa6a,dragons,blue,M17,0
292,01f5e2ea22b0aa6a,heralds,blue,M17,0
293,01f5e2ea22b0aa6a,inhibs,blue,M17,0
294,01f5e2ea22b0aa6a,towers,blue,M17,2
295,01f5e2ea22b0aa6a,barons,red,TPA,1
296,01f5e2ea22b0aa6a,dragons,red,TPA,4
297,01f5e2ea22b0aa6a,heralds,red,TPA,0
298,01f5e2ea22b0aa6a,inhibs,red,TPA,2
299,01f5e2ea22b0aa6a,towers,red,TPA,10
300,02026af18269d92c,barons,blue,SHR,1
301,02026af18269d92c,dragons,blue,SHR,3
302,02026af18269d92c,heralds,blue,SHR,0
303,02026af18269d92c,inhibs,blue,SHR,3
304,02026af18269d92c,towers,blue,SHR,11
305,02026af18269d92c,barons,red,TPA,0
306,02026af18269d92c,dragons,red,TPA,0
307,02026af18269d92c,heralds,red,TPA,0
308,02026af18269d92c,inhibs,red,TPA,0
309,02026af18269d92c,towers,red,TPA,0
310,02028334d7d140fa,barons,blue,SKT,0
311,02028334d7d140fa,dragons,blue,SKT,1
312,02028334d7d140fa,heralds,blue,SKT,1
313,02028334d7d140fa,inhibs,blue,SKT,0
314,02028334d7d140fa,towers,blue,SKT,3
315,02028334d7d140fa,barons,red,ROX,2
316,02028334d7d140fa,dragons,red,ROX,2
317,02028334d7d140fa,heralds,red,ROX,0
318,02028334d7d140fa,inhibs,red,ROX,3
319,02028334d7d140fa,towers,red,ROX,10
320,0213115c2f20bacd,barons,blue,SUP,0
321,0213115c2f20bacd,dragons,blue,SUP,0
322,0213115c2f20bacd,heralds,blue,SUP,0
323,0213115c2f20bacd,inhibs,blue,SUP,0
