,match_id,team_name,player,kills,deaths,assists,kda_ratio
140,01aec9f5934783bc,TL,Lourlo,2,3,1,1
141,01aec9f5934783bc,TL,Piglet,0,3,1,0.3333333333
142,01aec9f5934783bc,TL,Reignover,1,4,1,0.5
143,01aec9f5934783bc,TL,Youngbin,1,2,3,2
144,01af899d3540b3e8,GET,Kuro,0,3,2,0.6666666667
145,01af899d3540b3e8,GET,Smeb,0,3,1,0.3333333333
146,01af899d3540b3e8,SKT,Bang,9,0,6,15
147,01af899d3540b3e8,SKT,Faker,2,1,13,15
148,01af899d3540b3e8,SKT,MaRin,5,0,6,11
149,01af899d3540b3e8,SKT,Tom,0,1,12,12
150,01af899d3540b3e8,SKT,Wolf,0,0,14,14
151,01b203061ba62154,FW,Karsa,1,1,2,3
152,01b203061ba62154,FW,Maple,0,2,2,1
153,01b203061ba62154,RNG,Looper,3,0,5,8
154,01b203061ba62154,RNG,mlxg,1,1,8,9
155,01b3f6da3669f2e0,LZ,Apple,1,3,5,2
156,01b3f6da3669f2e0,LZ,IgNar,1,1,10,11
157,01b3f6da3669f2e0,LZ,Roar,4,1,2,6
158,01b3f6da3669f2e0,LZ,TusiN,4,1,6,10
159,01b3f6da3669f2e0,kt,Score,0,2,6,3
160,01b3f6da3669f2e0,kt,Ssumday,0,3,1,0.3333333333
161,01ba7b307c7b8202,C9,Impact,2,0,6,8
162,01ba7b307c7b8202,C9,Meteos,1,0,6,7
163,01ba7b307c7b8202,C9,Sneaky,4,0,4,8
164,01ba7b307c7b8202,CLG,Darshan,0,3,2,0.6666666667
165,01cc9b6ed7a1399c,H2K,Chei,0,4,8,2
166,01cc9b6ed7a1399c,H2K,Febiven,6,2,6,6
167,01cc9b6ed7a1399c,H2K,Jankos,5,1,6,11
168,01cc9b6ed7a1399c,H2K,Nuclear,4,1,9,13
169,01cc9b6ed7a1399c,H2K,Odoamne,1,4,3,1
170,01cc9b6ed7a1399c,ROC,Betsy,5,2,4,4.5
171,01cc9b6ed7a1399c,ROC,Hjarnan,0,5,6,1.2
172,01cc9b6ed7a1399c,ROC,Maxlore,1,3,5,2
173,01cc9b6ed7a1399c,ROC,Phaxi,4,4,1,1.25
174,01cc9b6ed7a1399c,ROC,Wadid,2,2,4,3
175,01dd2d806162619a,SKT,Bang,3,0,4,7
176,01dd2d806162619a,SKT,Faker,4,0,2,6
177,01dd2d806162619a,SKT,Huni,0,0,4,4
178,01dd2d806162619a,SKT,Peanut,5,1,4,9
179,01dd2d806162619a,SKT,Wolf,0,1,8,8
180,01dd2d806162619a,bbq,Bless,0,3,1,0.3333333333
181,01de05166befb130,APX,Keane,2,2,2,2
182,01de05166befb130,APX,Ray,1,2,4,2.5
183,01de05166befb130,NV,Hakuho,1,0,8,9
184,01de05166befb130,NV,Ninja,3,1,6,9
185,01de05166befb130,NV,Procxin,2,1,6,8
186,01de05166befb130,NV,Seraph,0,3,8,2.6666666667
187,01f5e2ea22b0aa6a,M17,Dee,0,7,1,0.1428571429
188,01f5e2ea22b0aa6a,TPA,Chawy,8,0,7,15
189,01f5e2ea22b0aa6a,TPA,Lupin,5,0,8,13
190,01f5e2ea22b0aa6a,TPA,Morning,3,1,12,15
191,01f5e2ea22b0aa6a,TPA,REFRA1N,2,0,11,13
192,02026af18269d92c,SHR,Cola,3,0,2,5
193,02026af18269d92c,SHR,Uzi,6,1,6,12
194,02026af18269d92c,SHR,Zero,1,2,11,6
195,02026af18269d92c,SHR,inSec,1,1,5,6
196,02026af18269d92c,TPA,Achie,0,2,3,1.5
197,02026af18269d92c,TPA,BeBe,2,5,2,0.8
198,02028334d7d140fa,ROX,Key,2,2,8,5
199,02028334d7d140fa,ROX,Mickey,10,0,5,15
200,02028334d7d140fa,ROX,Mightybear,1,1,9,10
201,02028334d7d140fa,ROX,Shy,3,1,12,15
202,02028334d7d140fa,SKT,Huni,0,2,2,1
203,02028334d7d140fa,SKT,Peanut,2,5,1,0.6
204,02028334d7d140fa,SKT,Wolf,0,5,3,0.6
205,0213115c2f20bacd,SKT,Bang,4,1,13,17
206,0213115c2f20bacd,SKT,Blank,10,1,7,17
207,0213115c2f20bacd,SKT,Duke,1,0,9,10
208,0213115c2f20bacd,SKT,Faker,7,1,5,12
209,0213115c2f20bacd,SKT,Wolf,0,4,15,3.75
210,0213115c2f20bacd,SUP,Dumbledoge,0,7,6,0.8571428571
211,0213115c2f20bacd,SUP,Naru,2,3,3,1.6666666667
212,0213115c2f20bacd,SUP,Stomaged,3,5,4,1.4
213,0213115c2f20bacd,SUP,fabFabulous,0,4,2,0.5
214,0217774f5fcfd38c,MSE,Ninuo,1,1,4,5
215,0217774f5fcfd38c,MSE,Wulala,2,5,4,1.2
216,0217774f5fcfd38c,ahq,AN,3,1,6,9
217,0217774f5fcfd38c,ahq,Albis,1,0,11,12
218,0217774f5fcfd38c,ahq,Mountain,2,2,6,4
219,0217774f5fcfd38c,ahq,Westdoor,10,0,6,16
220,0217774f5fcfd38c,ahq,Ziv,0,3,6,2
221,0222a96c1bc9a892,FNC,Werlyb,0,3,2,0.6666666667
222,0222a96c1bc9a892,G2,Expect,1,0,9,10
223,0222a96c1bc9a892,G2,Perkz,1,1,6,7
224,0222a96c1bc9a892,G2,Trick,5,0,6,11
225,0229872b393c3da5,JAG,Chaser,1,1,5,6
226,0229872b393c3da5,JAG,Chei,0,1,7,7
227,0229872b393c3da5,JAG,Cpt Jack,2,1,3,5
228,0229872b393c3da5,JAG,GBM,3,0,5,8
229,0229872b393c3da5,JAG,TrAce,4,0,3,7
230,0229872b393c3da5,kt,Ssumday,0,0,3,3
231,0249b915baf404f2,CGE,AJ,1,4,4,1.25
232,0249b915baf404f2,CGE,Rabi2,2,4,3,1.25
233,0249b915baf404f2,CGE,SpeaR,4,3,4,2.6666666667
234,0249b915baf404f2,ahq,Albis,0,2,14,7
235,0249b915baf404f2,ahq,Mountain,1,4,7,2
236,0249b915baf404f2,ahq,RD,12,3,5,5.6666666667
237,0249b915baf404f2,ahq,Westdoor,3,0,10,13
238,0249b915baf404f2,ahq,Ziv,4,0,7,11
239,0252d1b630f3bb39,IMT,Adrian,1,4,6,1.75
240,0252d1b630f3bb39,IMT,Huni,2,4,4,1.5
241,0252d1b630f3bb39,IMT,Pobelter,2,3,3,1.6666666667
242,0252d1b630f3bb39,IMT,Reignover,2,3,3,1.6666666667
243,0252d1b630f3bb39,TSM,Doublelift,5,1,9,14
244,0252d1b630f3bb39,TSM,Hauntzer,1,3,10,3.6666666667
