,match_id,red_or_blue_side,team_name,kills,deaths,assists,kda_ratio
113,036e6cef9568efd8,Blue,SKT,9.0,21.0,21.0,1.4285714285714286
114,036e6cef9568efd8,Red,CJE,21.0,9.0,60.0,9.0
115,037bf9c7473334ac,Blue,TSM,17.0,8.0,37.0,6.75
116,037bf9c7473334ac,Red,TIP,8.0,17.0,23.0,1.8235294117647058
117,038de38887156e3a,Blue,TL,24.0,18.0,53.0,4.277777777777778
118,038de38887156e3a,Red,NV,18.0,24.0,31.0,2.0416666666666665
119,03ce6fcebc623234,Blue,LOG,22.0,28.0,44.0,2.357142857142857
120,03ce6fcebc623234,Red,NGU,28.0,22.0,60.0,4.0
121,03d24db4e9f84a1e,Blue,CGE,2.0,23.0,5.0,0.30434782608695654
122,03d24db4e9f84a1e,Red,FW,23.0,2.0,52.0,37.5
123,03d50976ba570b35,Blue,AFs,16.0,5.0,38.0,10.8
124,03d50976ba570b35,Red,SKT,5.0,16.0,4.0,0.5625
125,03d53124a83de518,Blue,CLG,24.0,19.0,60.0,4.421052631578948
126,03d53124a83de518,Red,TL,19.0,24.0,47.0,2.75
127,03e63541154cbf11,Blue,TSM,11.0,6.0,25.0,6.0
128,03e63541154cbf11,Red,FOX,6.0,11.0,21.0,2.4545454545454546
129,03e84bb32f2423fc,Blue,TL,19.0,15.0,44.0,4.2
130,03e84bb32f2423fc,Red,FLY,15.0,19.0,27.0,2.210526315789474
131,0418fe2b0ce96318,Blue,SSG,16.0,8.0,26.0,5.25
132,0418fe2b0ce96318,Red,JAG,8.0,16.0,21.0,1.8125
133,042ec83d7a8f88aa,Blue,IM,5.0,15.0,10.0,1.0
134,042ec83d7a8f88aa,Red,NJE,15.0,5.0,33.0,9.6
135,0448c97e526ab0f7,Blue,KDM,5.0,20.0,6.0,0.55
136,0448c97e526ab0f7,Red,ROX,20.0,5.0,51.0,14.2
137,0456e04690de8c6f,Blue,FNC,24.0,23.0,52.0,3.3043478260869565
138,0456e04690de8c6f,Red,AHQ,23.0,24.0,45.0,2.8333333333333335
139,0461de71f9989ba7,Blue,NV,5.0,14.0,12.0,1.2142857142857142
140,0461de71f9989ba7,Red,C9,14.0,5.0,40.0,10.8
141,0464ba4b2048d781,Blue,MVP,17.0,5.0,45.0,12.4
142,0464ba4b2048d781,Red,JAG,5.0,17.0,12.0,1.0
143,048402ddf75bef64,Blue,UOL,16.0,2.0,57.0,36.5
144,048402ddf75bef64,Red,FNC,2.0,16.0,3.0,0.3125
145,048cce3454866c45,Blue,UOL,11.0,28.0,23.0,1.2142857142857142
146,048cce3454866c45,Red,GMB,28.0,11.0,62.0,8.181818181818182
147,04913800614ff1ac,Blue,SSG,18.0,6.0,48.0,11.0
148,04913800614ff1ac,Red,AFs,6.0,18.0,15.0,1.1666666666666667
149,049ca2add45db410,Blue,kt,1.0,12.0,3.0,0.3333333333333333
150,049ca2add45db410,Red,SKT,12.0,1.0,36.0,48.0
151,04a408ebb33a317c,Blue,SKT,7.0,23.0,23.0,1.3043478260869565
152,04a408ebb33a317c,Red,kt,23.0,7.0,70.0,13.285714285714286
153,04ad96cea3acd7df,Blue,CJE,7.0,13.0,17.0,1.8461538461538463
154,04ad96cea3acd7df,Red,SSG,13.0,7.0,41.0,7.714285714285714
155,04d6388306d1e785,Blue,S04,15.0,16.0,46.0,3.8125
156,04d6388306d1e785,Red,G2,16.0,15.0,38.0,3.6
157,04e095c64c5769b7,Blue,M17,4.0,11.0,13.0,1.5454545454545454
158,04e095c64c5769b7,Red,JT,11.0,4.0,33.0,11.0
159,04ecdf312cd55f6b,Blue,AS,6.0,12.0,14.0,1.6666666666666667
160,04ecdf312cd55f6b,Red,FW,12.0,6.0,16.0,4.666666666666667
161,04f29577b8665371,Blue,CNB,16.0,6.0,44.0,10.0
162,04f29577b8665371,Red,KBM,6.0,16.0,16.0,1.375
163,04f2f07b3f7a9d83,Blue,WS,11.0,22.0,22.0,1.5
164,04f2f07b3f7a9d83,Red,JT,22.0,11.0,55.0,7.0
165,05054169c81539b4,Blue,OG,6.0,19.0,14.0,1.0526315789473684
166,05054169c81539b4,Red,FNC,19.0,6.0,43.0,10.333333333333334
167,05418d865b63dd88,Blue,SPY,4.0,20.0,7.0,0.55
168,05418d865b63dd88,Red,MSF,20.0,4.0,43.0,15.75
169,0543b77fdf55e52e,Blue,C9,17.0,20.0,40.0,2.85
170,0543b77fdf55e52e,Red,DIG,20.0,17.0,46.0,3.8823529411764706
171,055172ab7f1efc4c,Blue,UOL,20.0,15.0,72.0,6.133333333333334
172,055172ab7f1efc4c,Red,EL,15.0,20.0,45.0,3.0
173,055b17da8456fdc8,Blue,CST,10.0,9.0,23.0,3.6666666666666665
174,055b17da8456fdc8,Red,DIG,9.0,10.0,23.0,3.2
175,0565660d8b72d749,Blue,RED,12.0,9.0,37.0,5.444444444444445
176,0565660d8b72d749,Red,PNG,9.0,12.0,15.0,2.0
177,057fcb4968b25e0f,Blue,SKT,21.0,3.0,45.0,22.0
178,057fcb4968b25e0f,Red,ANC,3.0,21.0,10.0,0.6190476190476191
179,0590ddde97cb82d0,Blue,NV,10.0,21.0,15.0,1.1904761904761905
180,0590ddde97cb82d0,Red,CLG,21.0,10.0,52.0,7.3
181,05abd4c334651b0d,Blue,KOO,17.0,6.0,39.0,9.333333333333334
182,05abd4c334651b0d,Red,KT,6.0,17.0,13.0,1.1176470588235294
183,05e2c8eaa9547ff1,Blue,FLY,5.0,26.0,9.0,0.5384615384615384
184,05e2c8eaa9547ff1,Red,P1,26.0,5.0,60.0,17.2
185,05e7ce7165b3a533,Blue,SSG,13.0,6.0,21.0,5.666666666666667
186,05e7ce7165b3a533,Red,MVP,6.0,13.0,10.0,1.2307692307692308
187,060673f2d5b5fa1c,Blue,VFK,6.0,15.0,20.0,1.7333333333333334
188,060673f2d5b5fa1c,Red,CNB,15.0,6.0,43.0,9.666666666666666
