,match_id,league,season,year,team_name,red_or_blue_side,result,game_length,top_player,top_champ,jungle_player,jungle_champ,mid_player,mid_champ,adc_player,adc_champ,support_player,support_champ,ban_1,ban_2,ban_3,ban_4,ban_5
4658,9e2d2a388721da4e,Europe,Spring_Season,2015,MYM,blue,1,44,Mimer,Irelia,H0R0,JarvanIV,Blizer300,Leblanc,MrRalleZ,Sivir,Nisbeth,Leona,'Azir', 'Cassiopeia', 'Lissandra',,
4659,9e2d2a388721da4e,Europe,Spring_Season,2015,CW,red,0,44,YoungBuck,Maokai,Airwaks,Rengar,Soren,Zed,Freeze,Caitlyn,Annie,Unlimited,'RekSai', 'LeeSin', 'Gnar',,
4660,9e3a93e956d7732b,North_America,Spring_Season,2015,TSM,blue,1,39,Dyrus,Lissandra,Santorin,JarvanIV,Bjergsen,Xerath,WildTurtle,Tristana,Lustboy,Morgana,'Cassiopeia', 'Annie', 'Sivir',,
4661,9e3a93e956d7732b,North_America,Spring_Season,2015,TL,red,0,39,Quas,Gnar,IWDominate,Nunu,FeniX,Ahri,Piglet,Caitlyn,Janna,Xpecial,'Kalista', 'Rumble', 'Kassadin',,
4663,9e56c6e11fd0dc69,Europe,Spring_Playoffs,2017,MSF,blue,0,53,Alphari,Camille,KaKAO,Graves,PowerOfEvil,Corki,Hans Sama,Varus,IgNar,Thresh,'Rengar', 'Shen', 'Malzahar', 'Zyra', 'Caitlyn'
4662,9e56c6e11fd0dc69,Europe,Spring_Playoffs,2017,UOL,red,1,53,Vizicsacsi,Renekton,Xerxe,Gragas,Exileh,Leblanc,Samux,Lucian,TahmKench,Hylissang,'Syndra', 'LeeSin', 'Elise', 'TwistedFate', 'Lulu'
4664,9e723d3361a600d4,LCK,Summer_Season,2015,LZ,blue,0,44,Apple,Rumble,TusiN,Gragas,Frozen,Azir,Roar,Tristana,IgNar,Janna,'Hecarim', 'Ryze', 'Leblanc',,
4665,9e723d3361a600d4,LCK,Summer_Season,2015,kt,red,1,44,Ssumday,Maokai,Score,RekSai,Nagne,Cassiopeia,Arrow,Kalista,Alistar,Fixer,'Viktor', 'Vayne', 'Thresh',,
4666,9e82175ddb64c85c,LMS,Summer_Season,2015,LGS,blue,0,38,Lat,Rumble,YO,Sejuani,Breaker,Leblanc,RD,Urgot,Ysera,Alistar,'RekSai', 'Fizz', 'Chogath',,
4667,9e82175ddb64c85c,LMS,Summer_Season,2015,ahq,red,1,38,Ziv,Maokai,Mountain,Gragas,westdoor,Kassadin,AN,KogMaw,Thresh,Albis,'Azir', 'Cassiopeia', 'Kalista',,
4669,9e93406f79a69713,Europe,Summer_Season,2015,SK,blue,0,40,fredy122,Maokai,Svenskeren,Evelynn,Fox,Azir,CandyPanda,Kalista,nRated,Nautilus,'Alistar', 'Ryze', 'Gragas',,
4668,9e93406f79a69713,Europe,Summer_Season,2015,OG,red,1,40,Soaz,Rumble,Amazing,Sejuani,xPeke,Vladimir,Niels,Urgot,Thresh,Mithy,'RekSai', 'Hecarim', 'Leblanc',,
4670,9ea7aa4ec4426e2d,LCK,Spring_Season,2015,SSG,blue,0,48,CuVee,Lulu,Eve,LeeSin,BlisS,JarvanIV,Fury,KogMaw,Wraith,Thresh,'Leblanc', 'Annie', 'RekSai',,
4671,9ea7aa4ec4426e2d,LCK,Spring_Season,2015,CJE,red,1,48,Shy,Maokai,Ambition,Sejuani,Coco,Vladimir,Space,Urgot,Morgana,MadLife,'Nidalee', 'Rumble', 'Kennen',,
4672,9eb7561aa3b13f3a,LCK,Spring_Season,2017,ROX,blue,0,27,Shy,Trundle,SeongHwan,Elise,Mickey,Ryze,Sangyoon,Varus,Key,Malzahar,'Jayce', 'Zyra', 'TahmKench', 'Gangplank', 'Kennen'
4673,9eb7561aa3b13f3a,LCK,Spring_Season,2017,SKT,red,1,27,Huni,Maokai,Peanut,LeeSin,Faker,Katarina,Bang,Ashe,MissFortune,Wolf,'Leblanc', 'Camille', 'Rengar', 'Poppy',
4674,9ec17f736d93f10c,LMS,Regional,2016,ahq,blue,1,42,Ziv,Gnar,Mountain,Gragas,Westdoor,Malzahar,AN,Sivir,Albis,TahmKench,'Jhin', 'Karma', 'Cassiopeia',,
4675,9ec17f736d93f10c,LMS,Regional,2016,M17,red,0,42,Vayn3z,Ekko,Taizan,RekSai,Apex,Viktor,Dee,Ashe,Braum,Dreamer,'TwistedFate', 'Lissandra', 'Taliyah',,
4677,9ec983246fbbfe86,Mid-Season_Invitational,International,2016,RNG,blue,0,55,Looper,Ekko,mlxg,LeeSin,xiaohu,Ryze,Wuxx,Sivir,Mata,Bard,'Braum', 'Alistar', 'Kindred',,
4676,9ec983246fbbfe86,Mid-Season_Invitational,International,2016,SKT,red,1,55,Duke,Maokai,Blank,Graves,Faker,Lulu,Bang,Lucian,Trundle,Wolf,'Twitch', 'Nidalee', 'Azir',,
4678,9f018ac7eab10cbf,LCK,Summer_Season,2015,ANC,blue,0,23,ikssu,Nautilus,lira,LeeSin,Mickey,Yasuo,Sangyoon,Corki,SnowFlower,Alistar,'Azir', 'Annie', 'Rumble',,
4679,9f018ac7eab10cbf,LCK,Summer_Season,2015,SKT,red,1,23,MaRin,Maokai,Bengi,Gragas,Faker,Irelia,Bang,Ezreal,Janna,Wolf,'Kalista', 'Thresh', 'Ryze',,
4681,9f0487fac75c73b0,Season_World_Championship,International,2016,H2K,blue,1,35,Odoamne,Jayce,Jankos,LeeSin,Ryu,Syndra,FORG1VEN,Lucian,Vander,Zyra,'Brand', 'Poppy', 'Jhin',,
4680,9f0487fac75c73b0,Season_World_Championship,International,2016,ANX,red,0,35,Smurf,Gnar,PvPStejos,Olaf,Kira,Zilean,aMiracle,Caitlyn,Bard,Likkrit,'Nidalee', 'Sivir', 'Ryze',,
4682,9f39440a33d49a3a,Europe,Summer_Season,2016,SPY,blue,1,30,Wunder,Irelia,Trashy,Elise,Sencux,Azir,Kobbe,Caitlyn,Mikyx,Bard,'Olaf', 'Trundle', 'Ryze',,
4683,9f39440a33d49a3a,Europe,Summer_Season,2016,VIT,red,0,30,Cabochard,Gragas,Shook,RekSai,Nukeduck,Karma,Police,Jhin,Morgana,KaSing,'Vladimir', 'Taliyah', 'Nidalee',,
4685,9f40c47f884cd1c9,LCK,Summer_Season,2015,JAG,blue,1,43,TrAce,Rumble,Chaser,RekSai,GBM,Viktor,Pilot,Vayne,Sweet,Alistar,'Ezreal', 'Gragas', 'Riven',,
4684,9f40c47f884cd1c9,LCK,Summer_Season,2015,SSB,red,0,43,SoaR,Maokai,Catch,Nidalee,SaSin,Lulu,Nuclear,Sivir,Braum,Secret,'Kalista', 'TwistedFate', 'Ryze',,
4687,9f42ac6dd0127edc,North_America,Spring_Season,2016,CLG,blue,0,29,Darshan,Ryze,Xmithie,RekSai,Huhi,Viktor,Stixxay,Ashe,aphromoo,Morgana,'Zilean', 'Nidalee', 'Lulu',,
4686,9f42ac6dd0127edc,North_America,Spring_Season,2016,TSM,red,1,29,Hauntzer,Fiora,Svenskeren,Graves,Bjergsen,Lissandra,Doublelift,Kalista,Alistar,Yellowstar,'Poppy', 'Gangplank', 'Corki',,
4688,9f534fd8eceff80b,North_America,Summer_Season,2016,P1,blue,0,27,zig,Trundle,Zentinel,Elise,Slooshi,Azir,Mash,Lucian,Gate,Braum,'Ekko', 'Swain', 'Nidalee',,
4689,9f534fd8eceff80b,North_America,Summer_Season,2016,IMT,red,1,27,Huni,Riven,Reignover,RekSai,Pobelter,Viktor,WildTurtle,Ashe,Karma,Adrian,'Ryze', 'Kindred', 'Maokai',,
4691,9f5d8dcceeab915d,LMS,Summer_Season,2015,MSE,blue,1,35,LOFS,Maokai,Empt2,RekSai,caNdy,Viktor,Stitch,Jinx,Chunx,Thresh,'Leblanc', 'Alistar', 'Gragas',,
4690,9f5d8dcceeab915d,LMS,Summer_Season,2015,LGS,red,0,35,Lat,Gnar,RD,LeeSin,Breaker,Cassiopeia,K,Tristana,Braum,Ysera,'Ryze', 'Kalista', 'Azir',,
4692,9f63258311c7a681,North_America,Spring_Season,2017,C9,blue,1,36,Ray,Kled,Contractz,Rengar,Jensen,Orianna,Sneaky,Lucian,Smoothie,Malzahar,'Shen', 'Gragas', 'Rumble', 'Jayce', 'Syndra'
4693,9f63258311c7a681,North_America,Spring_Season,2017,P1,red,0,36,zig,Nautilus,Meteos,Elise,Ryu,Talon,Arrow,Ezreal,Taric,Stunt,'Camille', 'Graves', 'Lulu', 'Fizz', 'Maokai'
4695,9f75e09209febaa5,Europe,Summer_Season,2016,S04,blue,0,32,Steve,Irelia,Gilius,Kindred,Fox,Vladimir,MrRalleZ,Sivir,sprattel,Alistar,'Braum', 'Bard', 'RekSai',,
4694,9f75e09209febaa5,Europe,Summer_Season,2016,SPY,red,1,32,Wunder,Fizz,Trashy,Gragas,Sencux,Anivia,Kobbe,Caitlyn,Zyra,Mikyx,'Ryze', 'Elise', 'Nidalee',,
4697,9fd806cd674d1989,LMS,Summer_Season,2016,FW,blue,0,41,MMD,Ekko,Karsa,Graves,Maple,Viktor,NL,Sivir,SwordArT,Braum,'Kassadin', 'Gangplank', 'RekSai',,
4696,9fd806cd674d1989,LMS,Summer_Season,2016,ahq,red,1,41,Ziv,Poppy,Mountain,Gragas,Westdoor,Lissandra,AN,Ashe,TahmKench,Albis,'Jhin', 'Vladimir', 'Taliyah',,
4699,9fe3604c6eb8bfd2,North_America,Summer_Season,2016,NV,blue,0,55,Seraph,Trundle,Procxin,Gragas,Ninja,Varus,LOD,Ezreal,Hakuho,Karma,'Zyra', 'Soraka', 'Hecarim',,
4698,9fe3604c6eb8bfd2,North_America,Summer_Season,2016,IMT,red,1,55,Huni,Lissandra,Reignover,RekSai,Pobelter,Azir,WildTurtle,Jinx,Braum,Adrian,'Vladimir', 'Ryze', 'Nidalee',,
4700,9fea62e4da8b7e70,Europe,Spring_Season,2017,GIA,blue,1,36,Flaxxish,Maokai,Memento,Elise,NighT,Zed,HeaQ,Jhin,Hustlin,Nautilus,'Gragas', 'Shen', 'Ziggs', 'Ezreal', 'Rengar'
4701,9fea62e4da8b7e70,Europe,Spring_Season,2017,OG,red,0,36,Satorius,Rumble,Wisdom,LeeSin,Naehyun,Jayce,Tabzz,Caitlyn,Lulu,xPeke,'Leblanc', 'Varus', 'Malzahar', 'Renekton', 'Camille'
4703,a00d4fda40dc613b,LCK,Spring_Season,2016,AFs,blue,0,34,ikssu,Lissandra,LirA,LeeSin,Mickey,Ezreal,Sangyoon,Kalista,SnowFlower,Thresh,'Quinn', 'Graves', 'Gangplank',,
4702,a00d4fda40dc613b,LCK,Spring_Season,2016,JAG,red,1,34,TrAce,Maokai,Winged,RekSai,Kuzan,Viktor,Pilot,Lucian,Alistar,Chei,'Zed', 'TwistedFate', 'Ryze',,
4705,a02ff4b40290a621,North_America,Summer_Season,2016,FOX,blue,0,38,kfo,Gnar,Kez,RekSai,Froggen,Viktor,Keith,Ashe,Big,Braum,'Azir', 'Irelia', 'Nidalee',,
4704,a02ff4b40290a621,North_America,Summer_Season,2016,TSM,red,1,38,Hauntzer,Trundle,Svenskeren,Gragas,Bjergsen,Ryze,Doublelift,Sivir,Karma,Biofrost,'Anivia', 'Vladimir', 'Shen',,
4706,a033059fdc97aa0f,LMS,Spring_Season,2017,FB,blue,0,37,Ninuo,Maokai,Wind,Khazix,M1ssion,Ryze,Unified,Ashe,SkuLL,Karma,'Leblanc', 'Rumble', 'Jhin', 'Malzahar', 'Nami'
4707,a033059fdc97aa0f,LMS,Spring_Season,2017,ahq,red,1,37,Ziv,Gragas,Mountain,LeeSin,Chawy,Syndra,An,Ezreal,Thresh,Albis,'Rengar', 'Shen', 'Varus', 'Kassadin', 'Orianna'
4709,a0453a42a62ea40e,LCK,Spring_Season,2017,ROX,blue,0,33,Shy,Renekton,Mightybear,Rengar,Mickey,Talon,Sangyoon,Varus,Key,Zyra,'Rumble', 'Fizz', 'Camille', 'Orianna', 'Gangplank'
4708,a0453a42a62ea40e,LCK,Spring_Season,2017,SKT,red,1,33,Huni,Shen,Peanut,Graves,Faker,Cassiopeia,Bang,Ashe,Karma,Wolf,'Taliyah', 'Nautilus', 'Malzahar', 'Kennen', 'Gragas'
4711,a04e23f525e06232,LCK,Spring_Season,2015,NJE,blue,1,56,Duke,Gnar,Watch,JarvanIV,Ggoong,Xerath,Zefa,Sivir,Pure,Karma,'Cassiopeia', 'Lulu', 'Leblanc',,
4710,a04e23f525e06232,LCK,Spring_Season,2015,IM,red,0,56,Lil4c,Rumble,Wisdom,LeeSin,Frozen,Ahri,SONSTAR,Corki,Janna,TusiN,'RekSai', 'Kassadin', 'Lissandra',,
4713,a05f4dc55e6094bf,LCK,Summer_Season,2016,SSG,blue,1,35,CuVee,Gnar,Ambition,Kindred,Crown,Viktor,Ruler,Ashe,Wraith,Alistar,'Ryze', 'Nidalee', 'Vladimir',,
4712,a05f4dc55e6094bf,LCK,Summer_Season,2016,LZ,red,0,35,Expession,Irelia,Chaser,RekSai,Coco,Azir,Fury,Jhin,Bard,Pure,'Sivir', 'Karma', 'Gragas',,
4715,a072f3f48ef0a754,North_America,Summer_Season,2016,NV,blue,0,43,Seraph,Gnar,Procxin,RekSai,Ninja,Vladimir,LOD,Tristana,Hakuho,Sona,'Shen', 'Taliyah', 'Ashe',,
4714,a072f3f48ef0a754,North_America,Summer_Season,2016,C9,red,1,43,Impact,Irelia,Meteos,Gragas,Jensen,Malzahar,Sneaky,Jhin,Alistar,Smoothie,'Sivir', 'Karma', 'Trundle',,
4716,a0890eb247ff5c8e,LCK,Regional,2016,kt,blue,1,38,Ssumday,Gnar,Score,Nidalee,Fly,Zilean,Arrow,Sivir,Hachani,Braum,'Gangplank', 'Viktor', 'Elise',,
4717,a0890eb247ff5c8e,LCK,Regional,2016,SSG,red,0,38,CuVee,Ekko,Ambition,Gragas,Crown,Lissandra,Ruler,Jhin,Bard,CoreJJ,'Taliyah', 'Vladimir', 'RekSai',,
4718,a0897e0665c287b6,LCK,Spring_Season,2017,ROX,blue,1,49,Lindarang,Maokai,Seonghwan,Rengar,Mickey,Ekko,Sangyoon,Jhin,Key,Nami,'Jayce', 'Zyra', 'Malzahar', 'AurelionSol', 'Cassiopeia'
4719,a0897e0665c287b6,LCK,Spring_Season,2017,LZ,red,0,49,Expession,Shen,Crash,Khazix,Fly,Corki,PraY,Ashe,Karma,GorillA,'Leblanc', 'Camille', 'Varus', 'Thresh', 'Ryze'
4721,a09645146263aabe,LMS,Spring_Season,2016,FW,blue,1,27,MMD,Poppy,Karsa,LeeSin,Maple,Leblanc,NL,Kalista,SwordArT,Thresh,'KogMaw', 'Lulu', 'Elise',,
4720,a09645146263aabe,LMS,Spring_Season,2016,MSE,red,0,27,Ninuo,Nautilus,Wulala,Gragas,M1ssion,Viktor,CorGi,Lucian,Alistar,Kaiwing,'Zed', 'Gangplank', 'Nidalee',,
4722,a09827bcddbdda75,Mid-Season_Invitational,International,2017,TSM,blue,1,31,Hauntzer,Renekton,Svenskeren,LeeSin,Bjergsen,Syndra,WildTurtle,Caitlyn,Biofrost,Lulu,'Ziggs', 'Gragas', 'Kennen', 'Galio', 'Shen'
4723,a09827bcddbdda75,Mid-Season_Invitational,International,2017,GAM,red,0,31,Stark,Nautilus,Levi,Graves,Optimus,Leblanc,Slay,Varus,Karma,Archie,'Ivern', 'Ezreal', 'Ashe', 'Fizz', 'Rumble'
